DIRECCION,DISTRITO,PROVINCIA,DEPARTAMENTO,colaboradores,lat,lon
AV. ARGENTINA 4793 CARMEN DE LA LEGUA REYNOSO,CARMEN DE LA LEGUA,CALLAO,LIMA,110,-12.0471763,-77.0929853
LA FONTANA 770 LA MOLINA,LA MOLINA,LIMA,LIMA,94,-12.0727286,-76.944856
"Q3RC+34W O, VILLA EL SALVADOR 15816",VILLA EL SALVADOR,LIMA,LIMA,58,-12.2135031,-76.9370262
AV. NESTOR GAMBETA 3235 CALLAO,CALLAO,CALLAO,CALLAO,58,-12.0292013,-77.1164721
AV. AREQUIPA 3570,SAN ISIDRO,LIMA,LIMA,37,-12.1008253,-77.0321931
CALLE 8 COMERCIAL CON LA AV. INDUSTRIAL CUADRA 4,LURIN,LIMA,LIMA,34,-12.2733688,-76.8688896
AV. HUASCAR 143 CALLAO,CALLAO,CALLAO,LIMA,30,-11.8856422,-77.1310644
"AV. JUAN DE ARONA N° 830 (S1-S4, P1-P19)",SAN ISIDRO,LIMA,LIMA,28,-12.0989209,-77.0346439
"AV PARRA 400, AREQUIPA",AREQUIPA,AREQUIPA,AREQUIPA,28,-16.4163084,-71.5486082
JIIRON SANTA ROSA 221 CERCADO D ELIMA,CERCADO DE LIMA,LIMA,LIMA,23,-12.0499601,-77.0291376
DIRECCION EXACTA: MZ C2 LOTE 5 URBANIZACION PARQUE INDUSTRIAL HUACHIPA ESTE (COMPLEJO BRYSON HILLS),SAN ANTONIO DE CHACLLA,HUAROCHIRI,LIMA,20,-11.7434398,-76.6498909
"PROLONGACION GONZALES PRADA 200 -202, EX FUNDO LARREA, MOCHE",MOCHE,TRUJILLO,LA LIBERTAD,18,-8.1714148,-79.008936
"59, SAN JUAN DE LURIGANCHO 15416",SAN JUAN DE LURIGANCHO,LIMA,LIMA,18,-12.0017252,-77.0084106
CA. ARCHIPIELAGO MZ B LOTE 30A URB CAPITANA LURIGANCHO CHOSICA,HUACHIPA,LIMA,LIMA,17,-12.0169226,-76.9483623
AV. REPUBLICA DE PANAMA N° 4575 – PISO 3,SURQUILLO,LIMA,LIMA,16,-12.1142159,-77.010462
S/N - PRADERAS DE LURIN,LURIN,LIMA,LIMA,15,-12.2623484,-76.830974
LA FONTANA 770 LA MOLINA,JESUS MARIA,LIMA,LIMA,15,-12.0727286,-76.944856
AV ARGENTINA 3088,CERCADO DE LIMA,LIMA,LIMA,13,-12.0475624,-77.0891484
LA FONTANA 770 LA MOLINA,PACHACAMAC,LIMA,LIMA,12,-12.0727286,-76.944856
"INTERSECCION ENTRE AV. EL POLO, LA ENCALADA Y AV. EL DERBY",SURCO,LIMA,LIMA,11,-11.8678175,-76.4576592
"AV. INDUSTRIAL MZ. E LT. 1,2,3,6",LURIN,LIMA,LIMA,11,-12.2733688,-76.8688896
"JR, JIRON GASPAR HERNANDEZ 700, LIMA",CERCADO DE LIMA,LIMA,LIMA,11,-12.0499601,-77.0291376
LIMA,LIMA,LIMA,LIMA,10,-12.0459808,-77.0305912
"AV. ERNESTO MONTAGNE 360, URB. LA AURORA, MIRAFLORES",MIRAFLORES,LIMA,LIMA,10,-12.1270697,-77.012957
CALLE VICTOR LIRA 151 - PARQUE INDUSTRIAL,AREQUIPA,AREQUIPA,AREQUIPA,9,-16.3988667,-71.5369607
"AV. ROMERO DREYFUS MZA. 18 LOTE. 3 URB. MACROPOLIS, LURIN",LURIN,LIMA,LIMA,9,-12.2733688,-76.8688896
SEC. CHURUPUYO B -4 URB. ASOC PROVIVIENDA NUEVO HUASO A Y B,CUSCO,CUSCO,CUSCO,9,-13.5170887,-71.9785356
"ALAMEDA DON AUGUSTO MZ. D1 LOTE 15, URB. LOS HUERTOS DE VILLA, CHORRILLOS",CHORRILLOS,LIMA,LIMA,8,-12.1709478,-77.02126
"AV. SANCHEZ CERRO SUB LOTE 234 - 239 A Y B ZONA INDUSTRIAL, CENTRO COMERCIAL REAL PLAZA, PIURA.",PIURA,PIURA,PIURA,8,-5.1971376,-80.6267237
"AV. EL DERBY 250, LIMA 15026",SURCO,LIMA,LIMA,8,-12.0978205,-76.9723904
AV. D - PAITA 20701,PAITA,PAITA,PIURA,8,-5.1036794,-81.106407
"AV. MOLINA CDRA 3/URUBAMBA, ATE.",ATE,LIMA,LIMA,8,-12.0387281,-76.896873
"AV. TOMAS VALLE (ESQUINA CON AV. PANAMERICANA NORTE) SECTOR E, SECCION C, VALLE BOCANEGRA, FUNDO CHAVARRI.",SAN MARTIN DE PORRES,LIMA,LIMA,8,-11.9814786,-77.0963114
"AV. SALAVERRY LT. C. – CDRA. 24, REAL PLAZA SALAVERRY, JESUS MARIA.",JESUS MARIA,LIMA,LIMA,7,-12.0751522,-77.043904
"AV. EL DERBY 250, LIMA 15023",SURCO,LIMA,LIMA,7,-12.0978205,-76.9723904
AV. JOSE LARCO 611,MIRAFLORES,LIMA,LIMA,7,-12.1304516,-77.0299044
"CALLE VERSALLES DEL CARMEN LOTE 04, CUZCO.",CUZCO,CUZCO,CUZCO,7,-13.5169542,-71.9792712
"AV. PRIMAVERA N°970 /984, SANTIAGO DE SURCO.",SURCO,LIMA,LIMA,7,-11.8678175,-76.4576592
"AV. NICOLAS AYLLON S/N LOTE 100 FNDO. LA ESTRELLA, ATE.",ATE,LIMA,LIMA,7,-12.0387281,-76.896873
"AV. PANAMERICANA MZ A LOTE 1-2 ZONA MUNICIPAL, SULLANA.",SULLANA,SULLANA,PIURA,6,-4.8900643,-80.6873604
"AV GASEODUCTO S/N ZONA INDUSTRIAL DE LURIN, LURIN 15823",LURIN,LIMA,LIMA,6,-12.2733688,-76.8688896
CALLE CHINCHON N° 944 (P2-P8),SAN ISIDRO,LIMA,LIMA,6,-12.0989209,-77.0346439
"CA. TOULON 133, LA MOLINA 15024",LA MOLINA,LIMA,LIMA,6,-12.077983,-76.9172838
AV. LA MOLINA N°3755 URB. SOL DE LA MOLINA,LA MOLINA,LIMA,LIMA,6,-18.0425204,-70.25162
"AV. GUARDIA CIVIL 927, URB. LA CAMPINA, CHORRILLOS.",CHORRILLOS,LIMA,LIMA,6,-12.1709478,-77.02126
"EDIFICIO ALIDE, SAN ISIDRO, AV. PASEO DE LA REPUBLICA 3211, SAN ISIDRO 15027",SAN ISIDRO,LIMA,LIMA,6,-12.0989209,-77.0346439
CALLE SAN JUAN DE DIOS 123,AREQUIPA,AREQUIPA,AREQUIPA,6,-16.3993569,-71.5354428
"AV. DE LA CULTURA C.C.REAL PLAZA, CUZCO.",CUZCO,CUZCO,CUZCO,6,-13.5169542,-71.9792712
"AV. ALFREDO MENDIOLA 7026, SAN MARTIN DE PORRES, C.C REAL PLAZA PRO",SAN MARTIN DE PORRES,LIMA,LIMA,6,-11.9814786,-77.0963114
"WX37+G5G &, AV. VICTOR ANDRES BELAUNDE, SAN ISIDRO 15073",SAN ISIDRO,LIMA,LIMA,5,-12.0989209,-77.0346439
"AV. VENEZUELA 5415, SAN MIGUEL.",SAN MIGUEL,LIMA,LIMA,5,-12.0629708,-77.0952786
AV PETHIT THOUARS 315 - CERCADO,CENTRO DE LIMA,LIMA,LIMA,5,-12.0506314,-77.0391309
"AV. PROLONGACION UNION N° 2218 ESQ. CON AV. PESQUEDA, TRUJILLO.",TRUJILLO,TRUJILLO,LA LIBERTAD,5,-8.1116778,-79.0287742
AV. PROCERES 155 SURCO,SANTIAGO DE SURCO,LIMA,LIMA,5,-12.147872,-76.986214
AV. PERU N° 3411,SAN MARTIN DE PORRES,LIMA,LIMA,5,-16.3102777,-71.6201605
"AV. ALFREDO BENAVIDES, 801, PISO 11, OFICINA 1102",MIRAFLORES,LIMA,LIMA,5,-12.1206214,-77.0294993
AV.GRAU 105,ICA,ICA,ICA,5,-12.0595274,-77.0352159
"JR. TUMBES 391- CC. REAL PLAZA, JULIACA.",JULIACA,JULIACA,JULIACA,5,-15.49611,-70.131117
"AV. NICOLAS AYLLON N°816 - 818 - K.M. DE LA CARRETERA CENTRAL, ATE.",ATE,LIMA,LIMA,5,-12.0387281,-76.896873
JR. PIZARRO N° 460 – TRUJILLO - LA LIBERTAD,TRUJILLO,TRUJILLO,LA LIBERTAD,5,-8.1116778,-79.0287742
AV. LOS HEROES 499 (ESQUINA DE AV. SAN JUAN Y AV. LOS HEROES - REFERENCIA ALFRENTE DE MERCADO CIUDAD DE DIOS SJM).,SAN JUAN DE MIRAFLORES,LIMA,LIMA,5,-12.1628581,-76.9635192
AV. BALTA 630,CHICLAYO,CHICLAYO,LAMBAYEQUE,5,-12.1424814,-77.0169251
"CRUCE DE LA AVENIDA TENIENTE VASQUEZ CON LA, LA MARINA, TUMBES",TUMBES,TUMBES,TUMBES,5,-3.5707875,-80.4596454
"CARRETERA PANAMERICA SUR KM. 239 SAN ANDRES, PISCO",PARACAS,PISCO,ICA,5,-13.8350425,-76.2496219
